Country Name,HDI,CT,SMR,W-NP,GDP,TS,M-Imp,M-Exp,EB-GS,PSE,SSE,HE/c,IM-DPT,MR<5
Croatia,0.823,0,17.5,23.8,-0.491757527,27,2278962000.00,13857849200.00,2.750885876,88.69764709,98.21647644,1050.334391,95,4.9
Russian Federation,0.805,0,16,13.6,0.731458212,9.05025409,3078770000.00,139483491058.00,8.063425288,95.21312714,104.4831314,892.8515629,97,8.3
Kyrgyz Republic,0.799,1,7.4,1.5,0.500109942,18.48038509,3102135400.00,102110651000.00,-20,92.87294006,92.05046844,1385.776935,95,9.1
Belarus,0.798,1,16,26.6,1.723086003,17.27213961,4061370000.00,36126500000.00,0.106706932,93.74105835,107.1194229,450.2139558,97,4.2
Oman,0.795,1,5.6,1.2,2.541561464,16.16382762,2930455136.96,53220806000.00,3.579473708,94.13887787,104.2332687,675.0433935,99,11
Uruguay,0.794,1,17,16.2,3.238791216,11.45169205,11484587000.00,9132088000.00,-0.372538306,94.21768188,85.94788962,1442.276451,95,9.5
Kazakhstan,0.793,1,16,25.2,4.2,8.822488641,412955000.00,79459800000.00,3.983687207,86.56228638,109.1081009,538.7827771,95,14
Bulgaria,0.792,1,15.9,20,1.328849722,25.65974817,3469816150.00,29285055450.00,0.147735176,94.92967987,99.01634979,661.8465273,88,8.8
Malaysia,0.787,1,5.8,10.4,6.01216652,25.84554117,2088505000.00,100251110035.63,7.653737597,98.36566162,77.57128143,455.8255255,97,8.1
Panama,0.785,1,5.5,19.3,6.053334058,27,232160000.00,13185000000.00,-6.74246234,93.40180969,85.94788962,958.9817662,80,17.4
Palau,0.783,1,9.9,0,4.256526674,73.05311049,164989000.00,11400000.00,-9.568545581,98.96391296,85.94788962,1150.302172,95,17
Seychelles,0.781,1,9.3,43.8,3.316985028,94.011986,1141814000.00,539617000.00,-7.062534613,94.68504333,81.6024704,494.1282842,99,14.6
Mauritius,0.779,1,9.3,18.8,3.744574431,24,5610266000.00,3093875000.00,-9.868530294,96.19619751,95.69615936,482.4541727,97,14.7
